PeakID,Hgt(m),PeakName(s),Location(Himals)
DHAM,6012,"Dhampus(ThapaPeak,MarphaPeak)",Mukut/Mustang
DHEC,6019,DhechyanKhang,Damodar
DING,6249,"DingjungNorth(Kangkuru,RimaMancho)",Rolwaling
DINS,6196,DingjungRi(DingjungRiSouth),Rolwaling
DOGA,6536,Dogari,Dhaulagiri
DOLM,6332,DolmaKang(Tseringma),Rolwaling
DOMK,7264,DomeKang,Jongsang
DOMO,7447,Domo(JongsangSEPeak),Jongsang
DORJ,6966,DorjeLhakpa,Jugal
DOR2,6593,DorjeLhakpaII,Jugal
DRAG,6185,DragmorpaRi(ThakmarpoRi),Langtang
DRAN,6757,DrangnagRi(ThaknakRi),Rolwaling
DROM,6881,"Drohmo(Domo,LongridgePeak)",Jongsang
DUDH,6045,"DudhKundali(DuiTalChuli,TwoLakesPeak)",Kanjiroba
DWIJ,6169,DwijenHimal,Ganesh/Shringi
DZA2,6318,DzanyeII,Janak/OhmiKangri
DZAN,6581,Dzanye(Dzanaye),Janak/OhmiKangri
DZAS,6295,Dzasampatse,Khumbu
EKRA,6213,EkrateDanda,Khumbu
EVER,8849,"Everest(Sagarmatha,Qomolungma)",Khumbu
FANG,7647,"Fang(BharahaShikhar,VarahaChuli,Finger)",Annapurna
FIRN,6730,"Firnkopf(Phirankoph,FirnkopfEast)",Saipal
FIRW,6745,FirnkopfWest(PhirankophWest),Saipal
FUTI,6425,FutiHimal,Damodar
GAMA,7187,GamaPeak,Dhaulagiri
GAN1,7422,GaneshI(YangraKangri),Ganesh/Shringi
GAN2,7118,GaneshII,Ganesh/Shringi
GAN3,7043,"GaneshIII(Salasungo,LapsangKarbo)",Ganesh/Shringi
GAN4,7104,GaneshIV(Pabil),Ganesh/Shringi
GAN5,6770,GaneshV,Ganesh/Shringi
GAN6,6908,GaneshVI,Ganesh/Shringi
GAN7,6350,GaneshVII,Ganesh/Shringi
GANC,6378,"Ganchenpo(FlutedPeak,Ganchempo)",Jugal
GAND,6248,GandharvaChuli(GabelhornPeak),Annapurna
GANG,7455,Gangapurna,Annapurna
GANW,7140,"GangapurnaWest(LachenalPeak,Asapurna)",Annapurna
GAUG,6110,Gaugiri,Damodar
GAUR,7135,Gaurishankar(JomoTseringma),Rolwaling
GAUS,7010,GaurishankarSouth(Gauri),Rolwaling
GDNG,6581,GaveDing,Nalakankar/Chandi/Changla
GHAN,6744,GhhanyalaHies,Janak/OhmiKangri
GHEN,6596,"GhengeLiru(GhengeLirung,LangtangII)",Langtang
GHUN,6529,GhustangNorth,Dhaulagiri
GHUS,6465,GhustangSouth(GurjaWest),Dhaulagiri
GHYM,5806,"GhyuthumbaMain(Gutumpa,PasangPeak)",Kanjiroba
GHYN,6110,GhyunHimalI,Mukut/Mustang
GIME,7007,GimmigelaChuliEast(Twins),Kangchenjunga/Simhalila
GIMM,7350,GimmigelaChuli(Twins),Kangchenjunga/Simhalila
GLAC,7069,GlacierDome(TarkeKang),Annapurna
GOJN,6310,Gojung(MuguChuli),Kanti/Palchung
GOLD,6632,GoldumPeak(PangriGoldumba),Langtang
GORH,6198,GorakhHimal,Nalakankar/Chandi/Changla
GORK,6254,GorakhKhang,Nalakankar/Chandi/Changla
GURA,6744,Guras(Gurans),Api/ByasRisi/Guras
GURJ,7193,GurjaHimal,Dhaulagiri
GURK,6889,GurkarpoRi,Jugal
GYAC,7861,GyachungKang,Khumbu
GYAJ,7074,Gyajikang(GyajiKang),Peri
GYLA,6363,Gyala,Manaslu/Mansiri
GYLZ,6151,GyalzenPeak(GyaltsenPeak),Jugal
HCHI,7029,"Hungchhi(Hunchhi,Chakung,Gyubanare)",Khumbu
HERZ,7555,HerzogPeak(KhangsarKangWest),Annapurna
HIME,7893,HimalchuliEast(HimalchuliMain),Manaslu/Mansiri
HIMJ,7092,Himjung(NemjungGoth),Peri
HIML,7126,HimlungHimal,Peri
HIMN,7331,HimalchuliNorth,Manaslu/Mansiri
HIMW,7540,HimalchuliWest,Manaslu/Mansiri
HIUP,6434,Hiunchuli(PatalHiunchuli),Annapurna
HMLE,6932,HimlungEast,Peri
HNKU,6833,"HongkuChuli(HonkuChuli,PyramidPeak)",Khumbu
HONG,6556,"Hongde(Hangde,HongdeHimal)",Mukut/Mustang
HONK,6764,"Hongku(HongkuChuliNup,Honku,SuraPeak)",Khumbu
HUGO,6787,HulangGo,Peri
HUNK,6119,Hunku,Khumbu
IMJA,6165,Imjatse(IslandPeak),Khumbu
JABR,6166,JabouRi,Rolwaling
JAGD,5761,Jagdula,Kanjiroba
JANE,7460,JannuEast(KhumbhakarnaEast),Kangchenjunga/Simhalila
JANK,7041,"JanakChuli(Janak,Outlier)",Janak/OhmiKangri
JANU,7711,Jannu(Khumbhakarna),Kangchenjunga/Simhalila
JARK,6473,Jarkya,Manaslu/Mansiri
JASG,6730,JasembaGoth(DzasampaKang),Khumbu
JETH,6850,"JethiBahurani(Jettiborani,Jutibofurani)",Api/ByasRisi/Guras
JING,6111,"Jinjang(Genjang,Gajang,Jijang)",Damodar
JOBO,6778,JoboRinjang(JoboRibjang),Rolwaling
JOMS,6335,JomsomHimal(JomsangHimal),Damodar
JONG,7462,"Jongsang(Jonsong,Jhinsang)",Jongsang
JUG1,6591,Jugal1,Jugal
JUG2,6518,Jugal2,Jugal
JUG3,6184,Jugal3,Jugal
JUG4,5936,Jugal4,Jugal
JUG5,5922,Jugal5,Jugal
JUNC,7133,JunctionPeak,Dhaulagiri
JYAC,6338,Jyachhung,Api/ByasRisi/Guras
KABD,6600,KabruDome,Kangchenjunga/Simhalila
KABN,7338,KabruNorth,Kangchenjunga/Simhalila
KABR,7412,KabruMain(KabruCentral),Kangchenjunga/Simhalila
KABS,7318,KabruSouth,Kangchenjunga/Simhalila
KAG1,5978,KagmaraI,Kanjiroba
KAGA,5910,KantaGaton(KangfuGaton),Kanjiroba
KAIP,6329,Kaipuchonam,Kanti/Palchung
KAKU,6344,KangKuru,Mukut/Mustang
KALI,6985,"KaliHimal(ChotaRi,BaruntseNorth)",Khumbu
KAN1,6521,KandeHiunchuliNorthI,Kanjiroba
KAN2,6471,KandeHiunchuliNorthII,Kanjiroba
KANB,7902,Kangbachen(Kambachen),Kangchenjunga/Simhalila
KANC,8473,KangchenjungaCentral,Kangchenjunga/Simhalila
KAND,6627,KandeHiunchuli,Kanjiroba
KANG,8586,Kangchenjunga,Kangchenjunga/Simhalila
KANN,7938,KangchenjungaNorth,Kangchenjunga/Simhalila
KANS,8476,KangchenjungaSouth,Kangchenjunga/Simhalila
KANT,6850,"KantiHimal(RonglaiKangri,KaqurKangri)",Kanti/Palchung
KAPT,5965,Kaptang,Kanti/Palchung
KARK,6015,Karko,Saipal
KARS,6225,KarsangKhang(UAAAPeak),Damodar
KARY,6530,Karyolung,Rolwaling
KASI,6386,KasiDalpha,Kanjiroba
KBNE,7780,KangbachenEast(KambachenEast),Kangchenjunga/Simhalila
KBON,6570,Konabon(Kambong),Dhaulagiri
KCHN,6043,"KangchungNup(KangchoNup,Cholo)",Khumbu
KCHS,6063,"KangchungShar(UIAAPeak,KangchoShar)",Khumbu
KGRI,6792,KhangriShar,Khumbu
KGRW,6658,KhangriWest,Khumbu
KGUR,6981,KangGuru(Naurgaon),Peri
KHAM,6759,"Khamjung(Khumjung,Khamjungar)",Damodar
KHAT,6790,Khatang,Rolwaling
KHAY,6186,Khayang,Manaslu/Mansiri
KHNG,6024,Khung,Kanti/Palchung
KHON,5798,KhongmaTse(MehraPeak),Khumbu
KHUM,6639,Khumbutse,Khumbu
KIMS,6781,"Kimshung(Kinshung,TsangbuRi)",Langtang
KIRA,7362,KiratChuli(TentPeak),Jongsang
KJER,6612,"Kanjeralwa(Kanjirowa,KanchenRuwa)",Kanjiroba
KJRN,6858,KanjirobaNorth,Kanjiroba
KJRS,6883,KanjirobaSouth(KanjirobaMain),Kanjiroba
KNAG,6737,KangNagchugo,Rolwaling
KNTC,6419,KantiHimalChurau,Kanti/Palchung
KNTE,6516,KantiHimalEast,Kanti/Palchung
KOGI,6275,KogiKangNorth(KogiKhangNorth),Kanti/Palchung
KOJI,6439,KojichuwaChuli,Kanti/Palchung
KOJS,6264,KojichuwaSouth,Kanti/Palchung
KORL,5738,KorlangPariTippa(KorlangPariTippaNorth),Rolwaling
KOTA,6148,"Kotang(Kokthang,KothangKang)",Kangchenjunga/Simhalila
KTEG,6783,"Kangtega(KangTaiga,Kantega)",Khumbu
KTOK,6294,Kangtokal,Dhaulagiri
KTSU,6444,"Kangtsune(Kangchunne,KanchauniLekh)",Kanjiroba
KTUN,6484,KhatungKang,Annapurna
KUML,6355,Kumlung(KangKuru?),Damodar
KUSU,6370,"KusumKanguru(KusumKang,Lamu)",Khumbu
KWAN,6186,Kwangde,Rolwaling
KYAB,6466,Kyabura,Janak/OhmiKangri
KYAS,6770,"Kyashar(Peak43,TangnagTseng)",Khumbu
KYAZ,6151,KyazoRi(KyajoRi),Khumbu
KYR1,6599,KyungkaRi1(KyungyaRi1),Langtang
KYR2,6506,KyungkaRi2(KyungyaRi2),Langtang
LAMJ,6983,LamjungHimal,Annapurna
LAMP,6648,"Lampo(LangpoKangri,GaneshVI)",Ganesh/Shringi
LANG,7227,LangtangLirung(Langtang),Langtang
LANR,7205,LangtangRi,Langtang
LANY,6048,LangtangYubra(YubraHimal),Langtang
LARK,6416,"LarkyaPeak(GranitePeak,NaikePeak)",Manaslu
LAS2,6803,LasharII(LosharII),Janak/OhmiKangri
LASA,6189,Lasa,Api/ByasRisi/Guras
LASH,6842,LasharI(LosharI),Janak/OhmiKangri
LCHA,6721,"LachamaChuli(KubiKangri,KubiDongdong)",Nalakankar/Chandi/Changla
LCHN,6628,LachamaNorth,Nalakankar/Chandi/Changla
LDAK,6220,Langdak,Rolwaling
LDNG,6386,Langdung(Ripumutse),Rolwaling
LEOE,6733,LeonpoGangEast(GyalgenPeak),Jugal
LEON,6979,"LeonpoGang(DorjePahad,BigWhitePeak)",Jugal
LHAS,6412,LhaShamma(PinnaclePeak),Kanjiroba
LHAY,6395,LhayulPeak,Api/ByasRisi/Guras
LHOM,8410,LhotseMiddle(LhotseIntermediate),Khumbu
LHOT,8516,Lhotse,Khumbu
LIK1,6719,LinkhuChuliI(Bigphera-GoShar),Rolwaling
LIK2,6659,LinkhuChuliII(Bigphera-GoNup),Rolwaling
LING,6713,Lingtren,Khumbu
LMOC,6552,LangmocheRi,Rolwaling
LNAK,6070,Lhonak(RifilPeak),Janak/OhmiKangri
LNGK,6786,LangchungKang(LangpoChung),Jongsang
LNJU,6426,Langju(LajoDada),Ganesh/Shringi
LNKE,6024,LunchhungKamoEast,Kanti/Palchung
LNPO,6965,Langpo(Longpo),Jongsang
LNPS,6857,LangpoSouth,Jongsang
LOBE,6090,LobujeEast(LobucheEast),Khumbu
LOBW,6135,LobujeWest(LobucheWest),Khumbu
LSAM,6500,"Lungsampa(LungSampa,Lumsumna)",Khumbu
LSHR,8382,LhotseShar(LhotseII),Khumbu
LSIS,6412,LangshisaRi(LangsisaRi),Jugal
LUGU,6899,Lugula,Damodar
LUN2,6812,LunagII,Rolwaling
LUNG,6042,Lungchhung,Kanti/Palchung
LUNR,6895,"LunagRi(LunagI,RongsharRiI,OndrejPk)",Rolwaling
LUNW,6492,LunagWest,Rolwaling
LUZA,5710,Luza,Khumbu
MACH,6993,Machhapuchhare,Annapurna
MAK2,7678,MakaluII(Kangchungtse),Makalu
MAKA,8485,Makalu,Makalu
MALA,6573,"Malanphulan(Melanpulan,HinkuRi)",Khumbu
MANA,8163,"Manaslu(KutangI,Peak30)",Manaslu/Mansiri
MANN,6994,ManasluNorth(ManasluII),Manaslu/Mansiri
MANP,6380,Manapathi,Dhaulagiri
MARD,5553,MardiHimal,Annapurna
MARI,6528,Mariyang,Kanti/Palchung
MARW,6455,MariyangWest,Kanti/Palchung
MATA,5767,"Matathumba(Matatumpa,GhyuthumbaEast)",Kanjiroba
MAYT,6449,MayonthangKang(MayunThangKhang),Kanti/Palchung
MERA,6470,"MeraPeak(""False""MeraPeak)",Khumbu
MERR,6334,Merra,Kangchenjunga/Simhalila
MERS,6064,MeraSouth,Khumbu
META,5608,Metalung,Khumbu
MING,6207,MingboRi,Khumbu
MNSL,6235,Mansail(Manshail),Mukut/Mustang
MNSS,6248,MansailSouth(ManshailSouth),Mukut/Mustang
MOJC,6024,Mojca(Mojka),Kangchenjunga/Simhalila
MPNE,6384,ManapathiNE,Dhaulagiri
MUKT,6087,"MukutHimal(MukotHimal,Langru)",Mukut/Mustang
MUPK,6229,MustangPeak,Mukut/Mustang
MUST,6195,MustangHimal,Mukut/Mustang
MYAG,6273,MyagdiMatha,Dhaulagiri
NAG1,7321,"NangpaiGosumI(NagpaiGosumI,ChoAui)",Khumbu
NAG2,7287,"NangpaiGosumII(NagpaiGosumII,Chamar)",Khumbu
NALA,6062,NalakankarNorth,Nalakankar/Chandi/Changla
NALS,6024,NalakankarSouth,Nalakankar/Chandi/Changla
NAM2,6585,NampaII,Api/ByasRisi/Guras
NAM3,6611,NampaIII(NampaChuli),Api/ByasRisi/Guras
NAMP,6729,Nampa(ChiselPeak),Api/ByasRisi/Guras
NAMS,6130,NampaSouth,Api/ByasRisi/Guras
NAN2,6209,NangamariII,Janak/OhmiKangri
NANG,6547,NangamariI,Janak/OhmiKangri
NAUL,6362,Naulekh,Khumbu
NAYA,5863,"NayaKanga(KangjaChuli,GhanjaChuli)",Jugal
NEMJ,7140,Nemjung,Peri
NEPA,7177,NepalPeak,Jongsang
NGAP,7007,NepalGapPeak(NepalGyapPeak),Kangchenjunga/Simhalila
NGO2,7743,NgojumbaKangII,Khumbu
NGO3,7681,NgojumbaKangIII(HillaryPeak),Khumbu
NGOJ,7916,NgojumbaKangI(TenzingPeak),Khumbu
NGOR,6165,Nagoru,Peri
NGOF,6145,NagoruFarEast,Peri
NILC,6940,NilgiriCentral,Annapurna
NILE,6698,NilgiriEast,Annapurna
NILN,7061,NilgiriNorth,Annapurna
NILS,6839,NilgiriSouth,Annapurna
NORB,6085,NorbuKang(NorbuKhang),Kanjiroba
NPHU,5921,Narphu,Damodar
NREK,6159,Nirekha,Khumbu
NUMB,6958,Numbur,Rolwaling
NUMR,6635,Numri,Khumbu
NUPE,7795,NuptseEastI,Khumbu
NUPK,6576,"NupcheKang(FriendshipPk,NupcheHimal)",Khumbu
NUPL,6861,NupLaKang(NuplaKhang),Khumbu
NUPT,7864,Nuptse,Khumbu
NUPW,7732,NuptseWestII(NuptseNupII),Khumbu
OHMI,6839,OhmiKangri,Janak/OhmiKangri
OMBG,6340,Ombigaichen(PumaDablam),Khumbu
OMBK,6300,OmbakHimal,Janak/OhmiKangri
OMIT,6332,OmitsoGo(OmiTsoGo),Rolwaling
OMRC,6070,OmogaRiChang,Khumbu
PALD,5903,Paldor(Bharange),Ganesh/Shringi
PAMA,6300,PamaHimal,Ganesh/Shringi
PAN1,6620,"Panpoche1(PangPhunch1,KutangHimal)",Manaslu/Mansiri
PAN2,6504,Panpoche2(PangPhunch2),Manaslu/Mansiri
PANB,6905,Panbari,Peri
PAND,6670,Pandra,Janak/OhmiKangri
PANG,6625,PangbukRi,Rolwaling
PANN,6478,PangbukNorth(JoboLeCoultre),Rolwaling
PANT,6687,"Panalotapa(PaniyoTapa,PaniyoTippa)",Rolwaling
PARC,6279,"Parchamo(Parchemuche,Pachermo)",Rolwaling
PASA,7350,PasangLhamuChuli(Jasemba),Khumbu
PASH,6177,Pashuwo(Pashubo),Ganesh/Shringi
PATR,6450,PatrasiHimal(KandeHiunchuliNorth),Kanjiroba
PAWR,6621,PawarCentral(ChaarBaatsa),Peri
PBUK,6244,PabukKang(Kangata),Janak/OhmiKangri
PEMK,6865,"PemthangKarpoRi(DomeBlanc,KanKarmo)",Jugal
PEMR,6743,PemthangRi,Jugal
PERH,6296,PeriHimal,Peri
PERI,6174,Peri,Langtang
PETH,6739,Pethangtse,Khumbu
PHAR,6017,Pharilapcha,Khumbu
PHNG,6524,Phungi,Peri
PHNH,6538,PhungiHimal,Manaslu/Mansiri
PHOL,6645,Phole,Kangchenjunga/Simhalila
PHUG,6767,PhuKangGo(AthahraSayaKholaHimal),Peri
PHUK,6694,PhuKang(PhuKhang),Peri
PHUN,6580,PhuKangNorth(PhuKhangNorth),Peri
PHUR,6637,PhurbiChhyachu(PurbiGhyachu),Jugal
PIMU,6344,Pimu(Pamalka),Rolwaling
PISA,6091,Pisang(JongRi),Damodar
PK04,6736,Peak4(ShershonRi),Khumbu
PK29,7871,"Peak29(NgadiChuli,DrHarkaGurungChuli)",Manaslu/Mansiri
PK41,6648,"Peak41(""True""MeraPeak)",Khumbu
PKAR,6264,PankarHimal,Manaslu/Mansiri
PLNG,7012,Palung(PalungRi),Khumbu
POIN,5850,PointedPeak,Khumbu
POKA,5806,Pokalde(DolmaRi),Khumbu
POKR,6372,Pokharkang(PokhkarKhang),Damodar
POTA,6182,PotaHimalNorth(PeakHawley),Dhaulagiri
PTHE,6572,PethangtseEast,Khumbu
PUCH,6049,PunchenHimal(PuchenHimal),Ganesh/Shringi
PUMO,7138,Pumori,Khumbu
PURB,6500,PurbungHimal(Putrung),Damodar
PURK,6126,"Purkhung(Purkhang,Purkung)",Damodar
PUTH,7246,PuthaHiunchuli(DhaulagiriVII),Dhaulagiri
PYRM,7140,PyramidPeak(PathibharaChuli),Jongsang
RAKS,6609,RakshaUrai(RakshaUraiIII),Api/ByasRisi/Guras
RAMC,6802,"RamtangChang(WedgePeak,ChangHimal)",Kangchenjunga/Simhalila
RAMD,5900,Ramdung(RamdongGo),Rolwaling
RAMT,6601,Ramtang,Kangchenjunga/Simhalila
RANI,6693,"RaniPeak(LidandaPeak,HimalchuliNE)",Manaslu/Mansiri
RATC,7035,RatnaChuli,Peri
RATH,6682,Rathong,Kangchenjunga/Simhalila
RAUN,6224,Raungsiyar,Rolwaling
RHIM,6210,Rhimbu,Ganesh/Shringi
RIPI,6647,RipimoShar(KhangKarpo),Rolwaling
ROCN,7485,RocNoir(KhangsarKang),Annapurna
ROKA,6468,Rokapi(Kapchuli),Api/ByasRisi/Guras
ROLK,6664,RolwalingKang(RolwalingKhang),Rolwaling
ROLM,6056,Rolmi,Ganesh/Shringi
ROMA,5407,Roma,Saipal
SAIE,6925,SaipalEastHumla,Saipal
SAIP,7030,Saipal,Saipal
SALD,6374,Saldim(Peak5),Makalu
SALW,6388,"SaldimWest(Peak5,SaldimRi,YaphuRi)",Makalu
SAMD,6335,Samdo,Manaslu/Mansiri
SANB,6328,SanoBhrikuti,Damodar
SANC,6207,SanctuaryPeak,Kanjiroba
SANK,6452,SanoKailash,Damodar
SARI,6328,Saribung(Selibung),Damodar
SATO,6164,SatPeak(SatoPeak),Janak/OhmiKangri
SAUL,6235,Saula,Manaslu/Mansiri
SHA2,7457,ShartseII(JunctionPeak),Khumbu
SHAL,6707,"Shalbachum(Salbachum,PhrulRangtshanRi)",Langtang
SHAR,7591,"Shartse(Peak38,ShantiShikhar)",Khumbu
SHER,6432,Shershon(Peak3),Makalu
SHEY,6139,SheyShikhar(JunctionPeak),Kanjiroba
SHNW,6682,ShershonNorthwest,Makalu
SIMN,6251,"SimnangHimal(P2,SimnangHimalEast)",Manaslu/Mansiri
SING,6501,SinguChuli(FlutedPeak),Annapurna
SISN,5911,SisneHimal(HiunchuliPatan),Kanjiroba
SITA,6611,SitaChuchura,Mukut/Mustang
SNOW,6530,SnowPeak,Dhaulagiri
SOBI,6652,Sobithongie,Kangchenjunga/Simhalila
SPH1,6433,SharphuI(TangaI),Janak/OhmiKangri
SPH2,6328,SharphuII(TangaII),Janak/OhmiKangri
SPH3,6220,SharphuIII(Marson),Janak/OhmiKangri
SPH4,6172,SharphuIV(Nupchu),Janak/OhmiKangri
SPH5,6158,SharphuV(TangaIII),Janak/OhmiKangri
SPH6,6076,SharphuVI,Janak/OhmiKangri
SPHN,6825,"Sphinx(PathibharaPhurba,PathibharaEast)",Jongsang
SRKU,6227,SerkuDolma,Kanjiroba
SURM,6564,Surma-SarovarNorth,Api/ByasRisi/Guras
SWAK,6405,SwaksaKang,Kanti/Palchung
SWEL,6180,Swelokhan,Manaslu/Mansiri
SYKG,5929,Syaokang,Janak/OhmiKangri
TAKL,6276,TaklaKang(TaklaKhang),Kanti/Palchung
TAKN,6142,TakphuNorth,Nalakankar/Chandi/Changla
TAKP,6395,TakphuHimal,Nalakankar/Chandi/Changla
TANK,6305,TankyaI,Kanti/Palchung
TAPL,6447,TapleShikhar(CrossPeak),Kangchenjunga/Simhalila
TARS,7069,TarkeKangShar(TareKang),Annapurna
TASH,6386,TashiKang,Mukut/Mustang
TAWA,6110,Tawa,Damodar
TAWO,6495,Tawoche(Taboche),Khumbu
TENE,6675,TengiRagiTauEast,Rolwaling
TENG,6215,Tengkoma(TangKongma),Jongsang
TENR,6938,"TengiRagiTau(Agole,Angole)",Rolwaling
TENS,6,TengiRagiTauSouth,Rolwaling
THAM,6618,Thamserku(Tramserku),Khumbu
THAR,5663,TharpuChuli(TentPeak),Annapurna
THOC,6602,ThocheGo,Peri
THOR,5751,ThorongPeak(ThorungPeak),Annapurna
THRK,6710,TharkeKang(TharkeKhang),Khumbu
THUL,7059,Thulagi(MansiriHimal),Manaslu/Mansiri
TILI,7134,Tilicho(Tilitso),Annapurna
TILJ,6530,Tilje,Api/ByasRisi/Guras
TILK,6369,TilKang,Nalakankar/Chandi/Changla
TKPO,6482,Tengkangpoche(Thyangmoche),Rolwaling
TKRE,6152,TakargoEast(Dragker-goEast),Rolwaling
TKRG,6771,Takargo(Dragker-go),Rolwaling
TLNG,7349,Talung,Kangchenjunga/Simhalila
TOBS,6065,Tobsar(Tabsar),Ganesh/Shringi
TONG,6187,Tongu,Mukut/Mustang
TRIA,6484,TrianglePeak,Jugal
TRIP,6553,TripuraHiunchuli(HangingGlacierPeak),Kanjiroba
TSAR,6343,Tsartse,Mukut/Mustang
TSIS,6196,"Tsisima(Chijima,MDMPeak)",Janak/OhmiKangri
TSKP,6518,TsoKarpo,Kanjiroba
TSOK,6556,TsoKarpoKang,Kanjiroba
TSUR,6395,TsaurabongPeak(WhitePeak),Dhaulagiri
TUKU,6920,Tukuche,Dhaulagiri
TUTS,6758,"Tutse(Peak6,Nephu)",Makalu
URKM,6143,Urkinmang(Buddha),Jugal
URMA,5890,Urkema(BadenPowellScoutPeak),Langtang
YAKA,6482,YakawaKang,Damodar
YALU,8505,YalungKang(Yalungkar),Kangchenjunga/Simhalila
YALW,8077,YalungKangWest,Kangchenjunga/Simhalila
YANG,6535,Yangri(Jugal),Jugal
YANK,6206,YanmeKang,Janak/OhmiKangri
YANS,6567,"YansaTsenji(Dragpoche,Dhagpache)",Langtang
YARA,6236,YaraChuli(YalaChuli),Kanti/Palchung
YARW,6644,Yarwa,Api/ByasRisi/Guras
YAUP,6422,Yaupa,Makalu
YNGS,6863,YangraKangriSouth(GaneshISouth),Ganesh/Shringi
YOKO,6423,Yokopahar(NampaVIII),Api/ByasRisi/Guras
YUBR,6264,Yubra,Langtang
